,choice,travel_dow,trip_purpose,hh_descr,gender,license,work_status,hh_vehicles,hh_size,hh_bikes,hh_income,education_level,distance,age,departure_time
WGGP_OR_BO,0.2506374063806105,0.012678927734115941,0.376716264142392,0.06603891310561483,0.05338287295271771,0.14482036248157049,0.344130966885312,0.21960303695152006,0.20607755414170137,0.12831617525926742,0.13941471428594543,0.17486720773788234,4.788740264339772,88.88638609415186,2.1703436115755785
WGGP_OR_NO,0.32609214192376623,0.033952359296345325,0.32824085558682725,0.08978805236636722,0.050423921669281446,0.17151669889496018,0.4655526931062294,0.4790849781716717,0.41388411560102056,0.275259965980724,0.17408857623225704,0.24898700096185977,1.8237332524905199,116.70432532990073,1.5575260241209676
WGGP_OR_OD,0.24292548099642186,0.013100061422249398,0.30802201598606005,0.06600351314766206,0.05326284381365176,0.14347036518277595,0.3507832031331607,0.21150374068359268,0.20569542216706005,0.12641187896418504,0.13711045947904643,0.18871144195067147,1.8928646888673768,90.94521885599009,1.8464604919679388
WGGP_WI_BO,0.20064526571914387,0.006854172151306459,2159.872637620447,0.05545969769253278,0.03778518900889993,0.09018681883722002,5998.942704499122,7438.697796721731,1199.9835071828174,4959.055987385331,0.13757978574929686,0.1891771289142965,-0.47144978644707436,71.602259200306,1.7913706630452566
WGGP_WI_NO,0.17425734454700448,0.006978540900051566,0.20639652824920351,0.04649894273169497,0.03759871060860265,0.1115333990516495,0.25943251021877234,0.12419499016263957,0.14945448259026783,0.05782561438530798,0.10210808817457195,0.1744239958790399,-1.1227093909545829,77.49314078521657,1.8536283589126157
WGGP_WI_OD,0.19794559939946643,0.00708482550523204,1679.9496879092299,0.05319510006058059,0.03721341794817157,0.087569447188413,5359.098856328551,7998.547259177425,640.1628200382614,4879.0687416272085,0.13650380442809573,0.19288903444840777,-1.321671702673612,77.48539449064218,2.0622825669762044
WGGP_WO_BO,1120.0082707524728,0.006849341697224842,0.1626081218513713,0.034850858093377846,0.036694182552257426,0.04230834351807977,3999.3867683016815,7998.540363952418,160.25226515754187,4639.1234024834175,0.10677336117996883,0.0615061723170256,-1.6344967176507978,36.802620551131994,-0.1125518983744982
WGGP_WO_NO,0.12879376847278,0.0058475182693809025,0.1333544341712647,0.03265632698812393,0.03540986877550367,0.049904992398651205,0.16334605420970105,0.1250314085606199,0.1332941052183093,0.04768353510359935,0.08209968884013596,0.06236384105497095,-1.4528073724035266,28.23507511210856,-0.05026155996374726
WGGP_WO_OD,960.022970254178,0.006710152178312834,0.15108810622471713,0.03458092974655447,0.03565083771892763,0.04173430838977382,3999.3864308804727,7758.613409975303,160.24087573849073,6158.699374165972,0.10294349349767096,0.06242665131517078,-1.4976754855647059,38.577488155822905,-0.052704952322145004
original,-0.1790396742217798,-0.062466134535793305,-0.28913090593315594,-0.09444824940937491,-0.03994861979851283,-0.044501731478002966,-0.28897929999314653,-0.2047328247964323,-0.2364329501177309,-0.20940533956915464,-0.22567249792840416,-0.23612128849102487,-10.962543296978538,-13.485354138320616,-1.7091026749937726
